country,t_from_birth_to_interview,t_6m_before_interv,physical_punishment,severe_physical,psychological_aggression,nonviolent_discipline,agech,sexch,windex5,urban,edlevelmom
Gambia,34.29708,33.849445,0,0,0,0,3,Male,Fourth,Urban,Less than primary
Gambia,34.29708,33.849445,0,0,0,0,3,Male,Richest,Urban,Secondary or higher
Gambia,34.0339,33.860104,0,1,1,1,3,Male,Richest,Urban,Less than primary
Gambia,34.308273,33.860104,1,0,0,1,3,Female,Richest,Urban,Secondary or higher
Gambia,34.208538,33.860104,0,0,1,1,3,Female,Richest,Urban,Secondary or higher
Gambia,34.13524,33.860104,1,1,1,1,3,Female,Fourth,Urban,Less than primary
Gambia,34.093826,33.883293,1,1,1,1,4,Male,Fourth,Urban,Less than primary
Gambia,34.197807,33.883293,1,0,1,1,3,Male,Fourth,Urban,Less than primary
Gambia,34.10254,34.62788,0,0,1,1,3,Female,Richest,Urban,Secondary or higher
Gambia,34.30571,33.883293,0,0,1,1,3,Male,Richest,Urban,Secondary or higher
Gambia,34.06525,33.883293,0,1,1,1,3,Male,Richest,Urban,Secondary or higher
Gambia,34.364304,33.883293,1,0,1,1,3,Female,Richest,Urban,Secondary or higher
Gambia,34.20794,33.883293,1,0,1,1,4,Female,Richest,Urban,Secondary or higher
Gambia,34.094326,33.883293,0,0,0,1,3,Female,Richest,Urban,Secondary or higher
Gambia,34.264584,33.93987,0,0,1,1,4,Female,Richest,Urban,Secondary or higher
Gambia,34.119617,33.93987,0,1,1,1,3,Male,Richest,Urban,Secondary or higher
Gambia,34.283947,33.93987,0,1,1,1,4,Male,Richest,Urban,Secondary or higher
Gambia,34.253834,33.93987,1,1,1,1,3,Male,Richest,Urban,Less than primary
Gambia,34.16994,33.82642,1,0,1,1,4,Female,Fourth,Urban,Secondary or higher
Gambia,34.37852,34.67132,0,0,1,0,3,Male,Fourth,Urban,Less than primary
Gambia,34.25642,33.92017,1,1,1,1,4,Female,Richest,Urban,Secondary or higher
Gambia,34.241467,33.92017,1,1,1,1,4,Female,Richest,Urban,Less than primary
